GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,ChunkTest,0,84,0,0,0,20,0,11,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,DiffTest,0,281,0,0,0,36,0,6,0,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,DeleteDeltaTest,0,67,0,0,0,13,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,PatchTest,0,135,0,0,0,16,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,GenerateUnifiedDiffTest,12,242,1,3,1,57,1,12,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,InsertDeltaTest,0,67,0,0,0,13,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,Delta_equals_hashCode_Test,0,98,0,0,0,19,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.util.diff,ChangeDeltaTest,0,77,0,0,0,13,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.matcher,AssertionMatcher_matches_Test.new AssertionMatcher() {...},0,11,0,0,0,4,0,2,0,2
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.matcher,AssertionMatcher_matches_Test.new ArgumentMatcher() {...},0,26,3,5,0,6,3,3,0,2
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.matcher,AssertionMatcher_matches_Test,0,116,0,0,0,26,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsNotBetween_Test,142,412,0,0,30,106,0,20,0,20
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasSecond_Test,34,68,0,0,10,19,0,8,0,8
